DisplayName,UserName,Timestamp,Content,Comments,Likes,Retweets,Interactions,Delito,Coordenadas
Segura EP,@segura_ep,2023-09-01 03:20:23+00:00,"Desde las cámaras de videovigilancia observamos actividad de 
@PoliciaDMGZona8
 por denuncia de robo en la av. Isidro Ayora y av. Francisco de Orellana.
@alcaldiagye
 #GuayaquilSegura",0.0,2.0,8.0,2314.0,1,"-2.1384511, -79.8913772"
Segura EP,@segura_ep,2023-09-01 02:19:12+00:00,"Desde las cámaras de videovigilancia captamos actividad de 
@PoliciaDMGZona8
 por denuncia de robo en la av. Ernesto Alban y av. 2 SE.
@alcaldiagye
 #GuayaquilSegura",0.0,1.0,7.0,2314.0,1,"-2.230788, -79.8939582"
Segura EP,@segura_ep,2023-08-31 01:53:39+00:00,"Desde las cámaras de videovigilancia realizamos el seguimiento por accidente de tránsito en la avenida 25 de Julio.

Se coordinó con miembros de 
@ATM_Transito
 y 
@BomberosGYE
 quienes acudieron al lugar.
@alcaldiagye
 #GuayaquilSegura",2.0,3.0,6.0,1335.0,1,"-2.2438513, -79.8956694"
Segura EP,@segura_ep,2023-08-29 17:10:33+00:00,"Un vehículo reportado como robado fue captado cuando circulaba por la av. Del Bombero. Alertamos a la 
@PoliciaDMGZona8
 que interceptó el auto y detuvo a dos sospechosos para investigaciones. #respuestainmediata #GuayaquilSegura 
@alcaldiagye",0.0,6.0,20.0,2499.0,1,"-2.1749333, -79.9417115"
Segura EP,@segura_ep,2023-08-29 08:04:47+00:00,"#Alerta | Miembros de la 
@ATM_Transito
 y 
@PoliciaDMGZona8
 atendieron el accidente de tránsito en el paso a desnivel de la calle Loja en sentido hacia la Julián Coronel. 
@alcaldiagye
 #GuayaquilSegura",1.0,5.0,13.0,2499.0,1,"-3.9952065, -79.2022123"
Segura EP,@segura_ep,2023-08-29 05:32:34+00:00,"Cámaras de videovigilancia captan el accidente de tránsito en Victor Emilio Estrada y av. Las Monjas. 

Se coordinó con miembros de 
@PoliciaDMGZona8
 y 
@BomberosGYE
 quienes acudieron al lugar. 
@alcaldiagye
 #GuayaquilSegura",0.0,0.0,3.0,2499.0,1,"-2.1698488, -79.9097647"
Segura EP,@segura_ep,2023-08-28 15:00:03+00:00,"Operadores del sistema de videovigilancia captaron a un sujeto que aparentemente estaba robando cables en José de Antepara y Hurtado, en el centro de la ciudad. Coordinamos con la 
@PoliciaDMGZona8
 del circuito 9 de Octubre que se llevaron detenido al sospechoso. #GuayaquiSegura",0.0,3.0,25.0,2499.0,1,"-2.1894861, -79.8907476"
Segura EP,@segura_ep,2023-08-28 02:06:29+00:00,"#Alerta | Cámaras de videovigilancia captan el accidente de tránsito en  Vía a Daule Km 7 ½. 

Se coordinó con miembros de 
@ATM_Transito
 quienes acudieron al sitio. 
@alcaldiagye",1.0,1.0,15.0,2499.0,1,"-2.1347281, -79.93411379999999"
Segura EP,@segura_ep,2023-08-27 11:57:11+00:00,"#Alerta | Desde las cámaras de videovigilancia monitoreamos el accidente de tránsito en la av. Francisco de Orellana.

Se coordinó con miembros de 
@ATM_Transito
 quienes acudieron al lugar.
@alcaldiagye
 #GuayaquilSegura",0.0,0.0,9.0,1470.0,1,"-2.1266582, -79.9055696"
Segura EP,@segura_ep,2023-08-27 11:50:05+00:00,"#Alerta | Desde las cámaras de videovigilancia monitoreamos el accidente de tránsito en la av. 25 de Julio y Pio Jaramillo.

Se coordinó con miembros de 
@ATM_Transito
 y 
@BomberosGYE
, unidades en camino.
@alcaldiagye
 #GuayaquilSegura",0.0,0.0,4.0,1470.0,1,"-2.2438513, -79.8956694"
Segura EP,@segura_ep,2023-08-27 10:06:59+00:00,"Cámaras de videovigilancia brindan apoyo visual al accidente de tránsito en avenida Federico Goding y Venezuela 

Se coordinó con miembros de 
@ATM_Transito
 y 
@BomberosGYE
 quienes acudieron al lugar. 
@alcaldiagye
 #GuayaquilSegura",0.0,0.0,6.0,1470.0,1,"6.42375, -66.58973"
Segura EP,@segura_ep,2023-08-26 21:44:19+00:00,"Desde las cámaras de videovigilancia monitoreamos el accidente de tránsito en la av. Malecón y Loja.

Se coordinó con miembros de 
@ATM_Transito
 y un paramédicos que se movilizan en vehículos de intervención rápida #VIR quienes acudieron al lugar.
@alcaldiagye
 #GuayaquilSegura",0.0,0.0,0.0,1313.0,1,"-3.9952065, -79.2022123"
