DisplayName,UserName,Timestamp,Content,Comments,Likes,Retweets,Interactions,Delito
Ámbito Financiero,@Ambitocom,2023-09-02 17:49:26+00:00,"Pablo Moyano, sobre un eventual triunfo de Bullrich o Milei: ""Voy a ser el primero en estar en la calle contra la derecha""",0.0,0.0,0.0,0.0,0
Martyn Mcfly,@martinmpaz,2023-09-02 17:49:21+00:00,"La ""estrategia"" parece ser:
Seguir castigando la mesa del pueblo, pasar cagando a un balotaje y rezar que el ""espanto anti Milei"" les de la victoria.
Nada puede malir sal.
#BuenSabado",0.0,0.0,0.0,0.0,0
+Contenidos.Net,@ContenidosN,2023-09-02 17:49:12+00:00,Milei acusó a Pallarols de mentiroso y si llega a la Presidencia pedirá que no le haga el bastón,0.0,0.0,0.0,0.0,0
OLGAOLGA,@OLGAOLGA577671,2023-09-02 17:49:09+00:00,El panqueque y cia. sabe que con Pato no va a poder por eso lo ayuda a Chucky. (Milei es Massa). AFIRMATIVO,0.0,0.0,0.0,0.0,0
Pat Wermus,@PatWermus,2023-09-02 17:48:52+00:00,"Milei es un invento de Fantino y el grupo América no hay que ir contra el invento, hay que ir contra los creadores. Si no se va contra el periodismo, no vamos a tener ni escuela, ni calle, ni nada, Y me cago bien garcado en esa porquería que llaman libertad de prensa.",0.0,0.0,0.0,0.0,0
Ragnar Anarquista,@AncapMx,2023-09-02 17:48:47+00:00,"Da risa que todos acusan a Milei de ser un maníaco, pero si lo comparan con sus opositores no está tan loco.",0.0,0.0,0.0,0.0,0
Luisito.,@cosmeluichito,2023-09-02 17:48:47+00:00,"Dada la distribución de su electorado, la foto de Milei con Moyano en una marcha más que restarle votos, le suma.",1.0,0.0,2.0,0.0,0
Leonardo,@leodegio,2023-09-02 17:48:46+00:00,El kirchnerismo queriendo hacer presidente a Milei...,0.0,0.0,0.0,0.0,0
Meri Greis,@merihas,2023-09-02 17:48:43+00:00,"Están tan hipnotizados por la demencia que dejaron de promocionar El loco La vida desconocida de Javier Milei y su irrupción en la política argentina, de Juan Luis González. Están todas las respuestas a la mano.",0.0,0.0,0.0,0.0,0
Passiflora,@PassifloraAr,2023-09-02 17:48:42+00:00,"Milei armando el ""cogobierno"" con Massa ..no se aguantan...o se lo exigen",0.0,0.0,0.0,0.0,0
Luisito.,@cosmeluichito,2023-09-02 17:48:47+00:00,"Dada la distribución de su electorado, la foto de Milei con Moyano en una marcha más que restarle votos, le suma.",1.0,0.0,2.0,1.0,0
Leonardo,@leodegio,2023-09-02 17:48:46+00:00,El kirchnerismo queriendo hacer presidente a Milei...,0.0,0.0,0.0,1.0,0
Meri Greis,@merihas,2023-09-02 17:48:43+00:00,"Están tan hipnotizados por la demencia que dejaron de promocionar El loco La vida desconocida de Javier Milei y su irrupción en la política argentina, de Juan Luis González. Están todas las respuestas a la mano.",0.0,0.0,0.0,1.0,0
Passiflora,@PassifloraAr,2023-09-02 17:48:42+00:00,"Milei armando el ""cogobierno"" con Massa ..no se aguantan...o se lo exigen",0.0,0.0,0.0,1.0,0
EsPatriciaBullrich,@LibertarioArge2,2023-09-02 17:48:40+00:00,"Milei habla de cualquier m1erda,  y la gran mayoria con la boca abierta......
Intenten despertar antes de las elecciones ...
POR DIOS !!!",0.0,0.0,0.0,1.0,0
Bembo Polo Milei,@MisterRigor,2023-09-02 17:48:38+00:00,"A finales del año pasado mi empresa ejecuto el primer trabajo importante para un cliente en Pereira, el valor total del negocio fue de 54 Millones, en impuestos se fueron 9M,  la utilidad de mi empresa fue 2.7M. 
Este modelo esta mal, este puto sistema está mal.",0.0,0.0,0.0,1.0,0
Cripto Moneda,@criptomonedaz,2023-09-02 17:48:30+00:00,"Dicen los de Juntos por el Cambio que el ""CAMBIO"" que Argentina necesita es que Bullrich y Moyano hagan otra vez el sketch televisivo que hicieron hace más de dos décadas. El cambio. Porque hay que cambiar. 

Milei va a ser presidente en primera vuelta. Sin despeinarse.",0.0,0.0,0.0,1.0,0
Nicote,@NicoteFC,2023-09-02 17:48:30+00:00,"OTRA ZURDA INVIABLE.
AGUANTE MILEI.",0.0,0.0,0.0,1.0,0
Campana,@Rttlsnake1890,2023-09-02 17:48:24+00:00,"Los que criticaban a milei ahora dicen que no les va a alcanzar un mandato. Votemos al original gente, no a la copia alcohólica de mala calidad.",0.0,0.0,0.0,0.0,0
Brancatelli Vip,@BrancatelliVip,2023-09-02 17:48:24+00:00,"Milei, me parecías simpático.
Ahora, me tenes los huevos llenos.
Quien poronga te crees que sos ????
Mamarracho",0.0,0.0,0.0,0.0,0
PATRI,@Patri_ale_more,2023-09-02 17:48:20+00:00,"@planeta_simios
 defende s a esa montonera??? O lo ensucias a Milei como se te antoja???",0.0,0.0,0.0,0.0,0
Ivan Federico,@Ivanfederico73,2023-09-02 17:48:19+00:00,Milei Coincidiendo con Grabois  .  Éste tipo tiene que hablar menos,0.0,0.0,0.0,0.0,0
Coco Loco,@cocoloco4455,2023-09-02 17:48:17+00:00,"Porque lo están atacando tanto a milei en vez de mostrar sus propuestas? Si las encuestas los dan ganadores porque se preocupan tanto por el. ?
Creo que esta vez están todo los políticos en el horno. #MileiEnPrimeraVuelta",0.0,0.0,0.0,0.0,0
kuca,@kucatrap_,2023-09-02 17:48:16+00:00,"Me destruye escuchar lo que propone milei, para mi la gente no vota sus propuestas, sería cinismo. Para mi votan su campaña. El loco supo entender el sentimiento de una sociedad corrompida por la inoperancia de otros gobiernos y la perdida de credibilidad en la política",1.0,0.0,3.0,0.0,0
Diario La Arena,@DiarioLaArena,2023-09-02 17:48:15+00:00,"Massa, contra Milei y JxC: ""Plantean entregar nuestra moneda y nuestra Patria""",0.0,0.0,0.0,0.0,0
Mila,@sinsofdeviI,2023-09-02 17:48:07+00:00,milei con los padres me da vibras a norman bates con la madre,0.0,0.0,0.0,0.0,0
Bruno Rodríguez,@Brunorodok,2023-09-02 17:47:19+00:00,"1) Cuando Milei reivindica que una empresa contamine un río todo lo que quiera o cuando niega el cambio climático, legitima la violación de la propiedad privada de quienes padecen las consecuencias de la depredación ambiental.",2.0,1.0,2.0,7.0,0
JoséLuisn't Milei del 30%,@JoseLuisMilei,2023-09-02 17:47:08+00:00,"Ven por qué son lo mismo? No vienen a cambiar.

Juntos por el Cambio para que no cambie nada.",0.0,1.0,2.0,7.0,0
JoséLuisn't Milei del 30%,@JoseLuisMilei,2023-09-02 17:47:08+00:00,"Ven por qué son lo mismo? No vienen a cambiar.

Juntos por el Cambio para que no cambie nada.",0.0,1.0,2.0,5.0,0
Diego Sacchi,@sac_diego,2023-09-02 17:47:06+00:00,"Se ve que Milei no miró para Uruguay. Buena parte del recurso hídrico está puesto al servicio de las empresas que cultivan arroz o la pastera en Fray Bentos, la ex Botnia.
Esto no evitó la contaminación, además llevó a la crisis hídrica más importante en décadas en el país vecino",1.0,0.0,0.0,5.0,0
nacho,@ignachov24,2023-09-02 17:46:46+00:00,hay un imaginario (muy persistente en un sector particular) que asume que para el votante de Milei es mas movilizante la pelicula 1985 que la posibilidad de no cagarse más de hambre,0.0,0.0,0.0,5.0,0
Alexander Keller,@413x4n63rk3113r,2023-09-02 17:46:40+00:00,El maestro vota a Milei. Me dió años de vida,0.0,0.0,1.0,5.0,0
Líder el Títere,@Lider_elTitere,2023-09-02 17:46:23+00:00,"""Si una empresa contamina un río ¿Dónde está el daño?"" dice tranquilamente Milei. Podemos aceptar que un personaje así exista como parte de nuestro folclore social, lo que parece increíble es que tenga alta probabilidad de ser presidente ",0.0,0.0,0.0,7.0,0
Al Qantarat,@JuanNave,2023-09-02 17:46:20+00:00,¿Javier Milei se garcha a la hermana?. Guauuuu¡¡¡ Si que estaremos en manos de un enfermo psiquiátrico MUY PELIGROSO.,0.0,0.0,0.0,7.0,0
Rodrigo León,@bitcoiner79,2023-09-02 17:46:05+00:00,"Por qué la dolarizacion que propone 
@JMilei
 es mejor al sistema bimonetario que propone 
@PatoBullrich
 ? Aquí la explicación por Juan Ramón Rallo
#dolarizacion #Patricia #MileiPresidente #Milei",0.0,0.0,0.0,7.0,0
Nacional Rosario Fontanarrosa,@nacionalrosario,2023-09-02 17:45:55+00:00,"Javier Milei: ""Una empresa puede contaminar un río todo lo que quiera""

#PanoramaNacional
 https://radionacional.com.ar/javier-milei-una-empresa-puede-contaminar-un-rio-todo-lo-que-quiera/…",0.0,0.0,1.0,1.0,0
pedro mattiazzi,@MattiazziS,2023-09-02 17:45:46+00:00,Me estas jodiendo? 35 AÑOS dijo Milei y q dolarizar (segun Marra) podria pasar de aca a dos años o a otro mandato,1.0,0.0,0.0,1.0,0
El Editor Platense,@editor_platense,2023-09-02 17:45:42+00:00," Milei: ""Una empresa puede contaminar un río todo lo que quiera"" #LLA #JavierMilei #Contaminacion 

Lee la nota completa  https://eleditorplatense.com/pol%C3%ADtica/21/2023/09/02/Milei-Una-empresa-puede-contaminar-un-rio-todo-lo-que-quiera…",0.0,0.0,0.0,1.0,0
Luis Carlos León,@LuisCarLn_,2023-09-02 17:45:37+00:00,"La candidata a vice de Javier Milei convocó a un homenaje a ""víctimas del terrorismo"" en la Legislatura porteña y generó polémica https://clarin.com/politica/candidata-vice-javier-milei-convoco-homenaje-victimas-terrorismo-legislatura-portena-genero-polemica_0_tmQJkxz5wn.html…",0.0,0.0,0.0,1.0,0
MonoKunla,@Juliobresso,2023-09-02 17:45:34+00:00,Milei es Massa y Milei se va a terminar garchando a Massa,0.0,0.0,0.0,1.0,0
EIPeruano,@EIPeruano,2023-09-02 17:45:18+00:00,"Milei no solo es drogo y estafador. También es un enfermero con mentalidad pedófila: ""el Estado es un pedófilo en el jardín de infantes con los nenes encadenados y bañados en vaselina"". Pobre Argentina si cae en manos de este loco.",0.0,0.0,1.0,0.0,0
ratcheta,@langostar_,2023-09-02 17:45:15+00:00,"Y cuando logré domesticar lo del cigarro resulta que vota a Milei. Por qué odias mi conxa, Señor?",0.0,0.0,3.0,0.0,0
Milei de la T,@TalleresLiberal,2023-09-02 17:45:14+00:00,"La urna, pero YA!!!",0.0,0.0,1.0,0.0,0
Flavio,@Populismomata,2023-09-02 17:45:09+00:00,"Milei mutó tan rápido que hoy sus militantes estan defendiendo consignas que su lider ya niega 

Dan risa",0.0,0.0,3.0,0.0,0
Clarín,@clarincom,2023-09-02 17:45:00+00:00,La candidata a vice de Javier Milei convocó a un homenaje a “víctimas del terrorismo” en la Legislatura porteña y generó polémica,5.0,0.0,8.0,3.0,0
Santiago Diaz,@sdiaz0397,2023-09-02 17:44:55+00:00,"Lo mejor que le puede pasar a las democracias latinas es que Milei gané. Su gobierno sería tan nefasto que mitigaria el crecimiento del fascismo en el continente. 
Una lástima por Argentina. La prueba de que siempre se puede estar peor.",0.0,0.0,0.0,3.0,0
Politica2,@politica2chile,2023-09-02 17:44:39+00:00,MENSAJE Video de Milei el próximo Presidente de Argentina para los políticos de extrema izquierda de Chile y el mundo. Ver con volumen alto para que quede claro. #MILEI #CHILE #ARGENTINA,0.0,0.0,1.0,3.0,0
Rumbo Al 2030,@mismaroja,2023-09-02 17:44:23+00:00,Argentina. Convocan a repudiar acto de homenaje a la dictadura militar organizado por la ultraderechista candidata de Milei -,0.0,0.0,0.0,8.0,0
Yenny,@YENNY0_LEE,2023-09-02 17:44:18+00:00,"Milei ha dicho cosas peores dentro del contexto que sea. Cuando en la entrevistas se le pide que diga cual es su posición sobre la venta de órganos y niños después de darle vueltas acepta que es posible. Supremacía racial, cognitiva y estética son parte de su discurso ¿Contexto?",0.0,0.0,0.0,8.0,0
RiverCity,@RiverCittyy,2023-09-02 17:44:14+00:00,Masterclass de Milei. Aprendan burros.,0.0,0.0,0.0,8.0,0
Facundo Armella,@facundo_armella,2023-09-02 17:44:13+00:00,"Locos que le hacen bien a la #Argentina  El dibu Martinez
 Locos que le van a hacer mal al país
 Javier Milei / #JavierDelay",0.0,0.0,0.0,8.0,0
Ro,@gatitodecasa,2023-09-02 17:44:11+00:00,"Milei cumple años el día de la elección, o sea va a tener el poder de los tres deseos.",0.0,0.0,0.0,8.0,0
Empalador tatengue,@elsuciobritez,2023-09-02 17:44:09+00:00,"acá el verdadero motivo por el que Moyano no ataja el lunes, se peleó con Bullrich y Milei",1.0,0.0,5.0,8.0,0
Kevin Aguirre,@aguirre90_ok,2023-09-02 17:44:06+00:00,"Si tenia mis dudas con este personaje se me terminaron de ir, Argentina perece con Milei, ya no vamos a ser Argentinos vamos a ser yankees nacionalizados.
Me va a doler ver a la patria retrocediendo con los pasos logrados  para con nuestros derechos.",0.0,0.0,0.0,8.0,0
"EL UNICO CAMBIO ES PATRICIA, LO OTRO? SIGA.. SIGA",@pirocratica,2023-09-02 17:44:02+00:00,"La única que puede para a los socios de Milei, los Moyanos y toda la casta kirchnerista...

#PatriciaBullrichPresidente2023  Victoria Villarruel Fantino  Ramiro Marra #JavierDelay #LaLibertadTransa Condenada HDMP",0.0,1.0,1.0,7.0,0
Negro Canayón,@TheChachosBands,2023-09-02 17:43:35+00:00,Toda la mañana rascándose la verga en la casa y a esta hora viene a comprar fiambre al kiosco. Media hora tardó el cara de pija. Ojalá que gane Milei la concha de tu madre.,0.0,0.0,0.0,7.0,0
Marcelo Torrado,@torrado_marcelo,2023-09-02 17:43:35+00:00,"Una historia más sobre la Universidad Pública que algunos hijos de puta quieren eliminar.
Nadie, ningún egresado o estudiante de un servicio de educación público puede votar a Javier Milei sin ser un hijo de puta o un imbécil. O ambas cosas a la vez.",0.0,0.0,0.0,7.0,0
𝓙𝓾𝓪𝓷 𝓖𝓪𝓫𝓻𝓲𝓮𝓵 74,@Sanchez_Juan_G,2023-09-02 17:43:34+00:00,Milei es otra variante de una estafa piramidal que cada cierto periodo de tiempo vuelve a aparecer para estafar a boludos pero llevada al plano político.,0.0,0.0,0.0,7.0,0
𝓙𝓾𝓪𝓷 𝓖𝓪𝓫𝓻𝓲𝓮𝓵 74,@Sanchez_Juan_G,2023-09-02 17:43:34+00:00,Milei es otra variante de una estafa piramidal que cada cierto periodo de tiempo vuelve a aparecer para estafar a boludos pero llevada al plano político.,0.0,0.0,0.0,6.0,0
Augusto Cesarone,@AugustoCesa95,2023-09-02 17:43:16+00:00,"Lean atentamente los comentarios de acá abajo, ver votantes de Milei justificando el control de precios. 

El fanatismo mesiánico hace mal a la salud mental.",1.0,0.0,0.0,6.0,0
Astrología por Chett,@astroporchett,2023-09-02 17:43:16+00:00,"Escrutinio definitivo de las PASO 2023. Muy, muy parejo todo. Está para cualquiera, y Milei no llegó al 30%.",0.0,0.0,0.0,6.0,0
Silvana Luperca,@Sylroma,2023-09-02 17:43:14+00:00,"Mientras Patricia Bullrich salía a la calle en defensa de la Libertad en la cuarentena eterna, Milei militaba el encierro y la política del miedo? Da más conservadurismo que liberal.",0.0,0.0,0.0,6.0,0
El Viaje Final de Javier Carabajal,@Edgar72_72,2023-09-02 17:43:12+00:00,A pesar de las diferencias abismales que tengo con Julian y los espertistas en general quiere expresar mi más enérgico repudio por lo que la militancia NAZI de Milei le está haciendo al meterse con sus hijos. Es una tendencia invariable hacer esas cosas de parte de esas lacras.,0.0,0.0,1.0,6.0,0
Guillermo Troxler,@GuilleTroxler,2023-09-02 17:42:47+00:00,"Milei : nunca la antiargentinidad, la anti Soberanía Nacional, creo un cazabobos tan ridiculo y tan, hasta ahora, efectivo",0.0,0.0,0.0,4.0,0
patricia caubet,@pcaubet2,2023-09-02 17:42:46+00:00,"QUE BESTIA!; LA CONTAMINACIÓN ENFERMA A LAS PERSONAS! Javier Milei avaló la contaminación por parte de empresas y Galmarini lo cruzó: ""No se negocia"" | vía 
@eldestapeweb",0.0,0.0,0.0,4.0,0
@CisneNegro2022,@CisneNegro2022,2023-09-02 17:42:29+00:00,"Entrevista a India Eco 

Entre las muchas cosas que me cuenta, ofrece una auténtica exclusiva: India Eco está asesorando al candidato presidencial argentino, Javier Milei. También hablamos de CBDC, Ucrania, la Unión Europea, la OTAN y más cosas.",1.0,0.0,0.0,3.0,0
CLAUDIA OVIEDO,@OkClaudiaOviedo,2023-09-02 17:42:28+00:00,No quiere ganar Milei,0.0,1.0,1.0,3.0,0
GORILON,@Finaldiscepolo,2023-09-02 17:42:24+00:00,"La cara de Novaresio cuando Milei dice ""Los nenes en vaselina"" ... No sabe si Milei lo está asustando o seduciendo.",0.0,0.0,0.0,3.0,0
,@PsicoInversor_,2023-09-02 17:42:10+00:00,Lo que veo de bueno con la aparición de Milei es que tanto los K como los Cambiemitas están muriendo. Lo celebramos.,0.0,0.0,0.0,3.0,0
EcoCodex,@EcoCodex,2023-09-02 17:41:53+00:00,"Argentina, ¿están seguros que quieren que este ignorante sea presidente? #Milei",0.0,0.0,0.0,11.0,0
@malavecandanga,@malavecandanga,2023-09-02 17:41:53+00:00,Lo arrecho que él ni los empresarios tomarán del agua que contaminen sus empresas. Esas aguas las tomará el pueblo argentino. Milei está avisando que va a matar a mucha gente y tal vez muchos de los que van a morir van a votar por el.,0.0,0.0,0.0,11.0,0
Fabiana,@Fabi2711296541,2023-09-02 17:41:34+00:00,"Los dos se equivocan
Malena:
El problema es la contaminación, no es el cambio climático ni el calentamiento global
Milei:
Está haciendo lobby para privatizar el agua y enriquecerse con las comisiones de la privatización",0.0,0.0,0.0,11.0,0
Fabiana,@Fabi2711296541,2023-09-02 17:41:34+00:00,"Los dos se equivocan
Malena:
El problema es la contaminación, no es el cambio climático ni el calentamiento global
Milei:
Está haciendo lobby para privatizar el agua y enriquecerse con las comisiones de la privatización",0.0,0.0,0.0,2.0,0
Bembo Polo Milei,@MisterRigor,2023-09-02 17:41:18+00:00,"El que no voló cometa en Agosto, no culea en Septiembre. ",0.0,0.0,0.0,2.0,0
Tercerplaneta,@KingTigro,2023-09-02 17:41:18+00:00,"Las ideas de Milei sobre la contaminación llevadas a la practica:  Salton Sea, la ciudad mas toxica de EEUU. ",1.0,1.0,0.0,2.0,0
Λουκᾶς,@matomeupendrive,2023-09-02 17:41:17+00:00,Não tankou o milei careca,0.0,0.0,1.0,2.0,0
Decidme Licenciado -- (Gonipag),@gonipagg,2023-09-02 17:41:13+00:00,Pero si gana Milei van a perder el derecho al hacinamiento.,0.0,1.0,2.0,2.0,0
El Tío Frankie,@Frankieeltio,2023-09-02 17:40:29+00:00,Alguna mente brillante de Twitter que cree el gif de Milei con el afuera.. ,0.0,0.0,0.0,21.0,0
Derecha Occidental,@CivilCristiana,2023-09-02 17:39:51+00:00,"Miles de votantes se avivaron de que Bullrich no va a cambiar nada, es una copia trucha del peluca y ahora votan a Milei. En JxC improvisaron con el peronista Melconian para evitar el hundimiento definitivo. Están terminados y ya fracasaron. Voto útil es #MileiEnPrimeraVuelta",0.0,0.0,0.0,7.0,0
Mastra,@Mastra_ax,2023-09-02 17:39:39+00:00,Milei está probando ser Trump. Hasta la barbaridad más grande no le resta 1 voto.,0.0,0.0,0.0,7.0,0
Salvaje Unitario,@SalvajeUnitario,2023-09-02 17:39:34+00:00,"Convertí a uno que hasta ayer era no binario, hoy vota a Milei.",0.0,0.0,3.0,7.0,0
Ragnar Anarquista,@AncapMx,2023-09-02 17:39:26+00:00,"Milei a veces dice cosas muy estúpidas, pero sus opositores son mil veces peor XD",3.0,1.0,7.0,7.0,0
Salvaje Unitario,@SalvajeUnitario,2023-09-02 17:39:34+00:00,"Convertí a uno que hasta ayer era no binario, hoy vota a Milei.",0.0,0.0,3.0,20.0,0
Ragnar Anarquista,@AncapMx,2023-09-02 17:39:26+00:00,"Milei a veces dice cosas muy estúpidas, pero sus opositores son mil veces peor XD",3.0,1.0,7.0,20.0,0
Radio Rivadavia,@Rivadavia630,2023-09-02 17:39:16+00:00,"El periodista y analista político Daniel Bilotta dialogó con 
@madorni
  y equipo en #NoVaMas sobre su última nota ""Un irrefrenable deseo de libertad"", la realidad del conurbano de cara a las elecciones y el voto bronca a favor de Milei.",0.0,1.0,2.0,20.0,0
matiasreggiardo.eth,@reg_mati,2023-09-02 17:39:12+00:00,"Todos los videos viejos de Milei, incluyendo el de los niños en la escuela, ya los ví y los tuve presente desde el momento en que los ví. No entiendo que tengamos una memoria tan de corto plazo que ahora necesitemos reflotarlos para acordarnos de que Milei es esto. Milei siempre… Show more",2.0,0.0,6.0,20.0,0
Milei Presidente 2023,@Mileipresi2023,2023-09-02 17:39:07+00:00,"Se quedaron en el paleolítico, le tienen que decir a meretrices Argentinas que la palabra ""patriarcado"" ya pasó de moda y que espanta a la gente",0.0,1.0,9.0,20.0,0
VascoAriano,@Ignacioarcondo,2023-09-02 17:39:00+00:00,"Los corruptos prebendarios que viven del Estado, apoyan a Milei.
Los empresarios serios que se juegan su futuro a cada instante, apoyan el ORDEN.
Orden es lo que ofrece PATO Bullrich.
PATRICIA BULLRICH PRESIDENTE 
ORDEN, QUEREMOS ORDEN",0.0,1.0,1.0,3.0,0
Damian Granja,@damifarm,2023-09-02 17:38:58+00:00,#Argentina coincido pero sumaría que son torias inviables no porque sea poco práctico Milei.,0.0,0.0,0.0,3.0,0
The Rainmaker,@The_RainmakerC,2023-09-02 17:38:58+00:00,"Después del vídeo de Milei sobre el Estado y los niños de jardín no me queda ninguna duda de lo perverso que es él y su núcleo duro: Villarruel y sus fantasías perversas sobre la ESI, Marra que manda a los pibes a ver porno.
Las infancias están en serio peligro con estos dementes",0.0,2.0,8.0,3.0,0
El Viaje Final de Javier Carabajal,@Edgar72_72,2023-09-02 17:38:54+00:00,"Este pelotudo de 
@GordoMonstruo__
, así como todos los fachitos de Milei, va a terminar muy mal.",0.0,0.0,1.0,3.0,0
ABG,@ABG02511002,2023-09-02 17:38:46+00:00,"No hay problema que CFK diga eso.
Con Milei presidente,  Cristina no vuelve nunca más.  Desaparece el kirchnerismo y juntos x cargo que fracciona en 5 partes. 
Milei presidente",0.0,0.0,1.0,3.0,0
cristhin,@MARACRISTINARUS,2023-09-02 17:38:42+00:00,Es agresivo ! No te subas al pony Milei!,0.0,0.0,0.0,3.0,0
