Name,Accidente Vehicular,Agresión,Drogas,Extorsión,Fraude,Homicidio,Incendio,Robo,Secuestro,Vandalismo
Abel Gilbert,2.0,2.0,0.0,0.0,0.0,4.0,0.0,9.0,0.0,0.0
Alborada,1.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0
Atarazana,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Balerio Estacio,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
Barrio Lindo,5.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
Barrio Orellana,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
Bastion Popular,1.0,6.0,0.0,0.0,1.0,3.0,2.0,3.0,0.0,0.0
Batallon del Suburbio,1.0,1.0,0.0,1.0,0.0,1.0,0.0,14.0,2.0,1.0
Bellavista,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
Ceibos,6.0,1.0,0.0,0.0,0.0,2.0,0.0,7.0,0.0,0.0
Centenario,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0
Cerro del Carmen,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
Ciudadela 9 de Octubre,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0
Ciudadela Caracol,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Ciudadela La FAE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0
Ciudadela Vernaza,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Colinas de la Alborada,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
Colinas de la Florida,0.0,2.0,0.0,0.0,1.0,7.0,0.0,4.0,0.0,0.0
Colinas del Sol,1.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0
Condor,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0
Cristo del Consuelo,0.0,0.0,0.0,0.0,0.0,1.0,0.0,5.0,0.0,0.0
El Fortin,2.0,4.0,0.0,0.0,0.0,3.0,0.0,5.0,0.0,0.0
Estero Salado,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Febres Cordero,5.0,1.0,0.0,0.0,0.0,3.0,0.0,4.0,0.0,0.0
Flor de Bastion,0.0,2.0,0.0,1.0,0.0,10.0,0.0,5.0,0.0,1.0
Floresta,0.0,2.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0
Florida,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
