DisplayName,UserName,Content,Comments,Likes,Retweets,Interactions,Delito,Coordenadas,latitude,longitude,Name,Zona,Date,Time,TipoDelito
Segura EP,@segura_ep,"Desde las cámaras de videovigilancia observamos actividad de 
@PoliciaDMGZona8
 por denuncia de robo en la av. Isidro Ayora y av. Francisco de Orellana.
@alcaldiagye
 #GuayaquilSegura",0.0,2.0,8.0,2314.0,1,"-2.1384511, -79.8913772",-2.1384511,-79.8913772,Sauces,Norte,2023-09-01,03:20:23,Robo
Segura EP,@segura_ep,"#Alerta | Desde las cámaras de videovigilancia monitoreamos el accidente de tránsito en la av. Isidro Ayora Cueva y Gabriel Roldós Garcés.

Se coordinó con miembros de 
@ATM_Transito
 quienes acudieron al lugar.
@alcaldiagye
 #GuayaquilSegura",0.0,3.0,7.0,840.0,1,"-2.1269033, -79.9000788",-2.1269033,-79.9000788,Sauces,Norte,2023-08-24,22:08:45,Accidente Vehicular
Segura EP,@segura_ep,"Cámaras de videovigilancia monitorean el accidente de tránsito en Dr. Antonio Parra Velasco y avenida José María Egas. 

Se coordinó con miembros de 
@ATM_Transito
 quienes acudieron al lugar. 
@alcaldiagye
 #GuayaquilSegura",0.0,3.0,17.0,2266.0,1,"-2.1329058, -79.8899186",-2.1329058,-79.8899186,Sauces,Norte,2023-08-22,05:37:57,Accidente Vehicular
Segura EP,@segura_ep,"#Alerta | Desde las cámaras de videovigilancia monitoreamos el accidente de tránsito en la avenida Agustín Freire y Rodolfo Baquerizo Nazur. 

Se coordinó con miembros de 
@ATM_Transito
 quienes acudieron al lugar.
@alcaldiagye
 #GuayaquilSegura",0.0,2.0,18.0,1490.0,1,"-2.1413962, -79.8887857",-2.1413962,-79.8887857,Sauces,Norte,2023-07-30,06:50:26,Accidente Vehicular
Segura EP,@segura_ep,"Cámaras de videovigilancia captan el accidente de tránsito en avenida José María Egas y Dr. Antonio Parra Velasco. 

Se coordinó con miembros de 
@ATM_Transito
 y 
@BomberosGYE
 quienes acudieron al lugar. 
@alcaldiagye
 #GuayaquilSegura",0.0,1.0,1.0,1240.0,1,"-2.1329058, -79.8899186",-2.1329058,-79.8899186,Sauces,Norte,2023-07-22,00:29:11,Accidente Vehicular
Minuto & Medio,@MinMedio,"#Guayaquil 

Un caso de sicariato se registró cerca del mercado de Sauces 4 al norte de la ciudad, la víctima recibió algunos disparos

Más detalles en nuestro canal de Telegram ",1.0,14.0,64.0,2398000.0,1,"-2.1237103389047, -79.8882865290454",-2.1237103389047,-79.8882865290454,Sauces,Norte,2023-02-28,23:17:35,Agresión
Minuto & Medio,@MinMedio,"#Guayaquil 
Y antes de cerrar este mes de Mayo, reportan un nuevo caso de sicariato está vez en el sector de Sauces 6 al norte de la ciudad",1.0,62.0,177.0,614000.0,1,"-2.126138632676539, -79.89776606963062",-2.126138632676539,-79.89776606963062,Sauces,Norte,2023-05-31,23:49:29,Homicidio
Minuto & Medio,@MinMedio,"#Guayaquil
Delincuentes armados intentaron robar en sauces 9, incluso se puede que dispararon contra las víctimas",14.0,213.0,383.0,271000.0,1,"-2.1313869485359747, -79.89308772692338",-2.1313869485359747,-79.89308772692338,Sauces,Norte,2023-03-14,19:08:11,Robo
Minuto & Medio,@MinMedio,"#Guayaquil _x000D_
Delincuente que robaba con destornillador fue abatido aparentemente cuando intentó robar a una persona en el sector de Sauces 6 al norte de la ciudad",137.0,351.0,1948.0,283000.0,1,"-2.1258814191733983, -79.89671414967573",-2.1258814191733983,-79.89671414967573,Sauces,Norte,2023-07-16,20:04:42,Robo
Minuto & Medio,@MinMedio,"#Guayaquil 
Delincuentes entraron a una peatonal para robar a una persona que estaba en los exteriores de un domicilio en el sector de Sauces 7",5.0,65.0,99.0,182000.0,1,"-2.1350054700896854, -79.89084542446238",-2.1350054700896854,-79.89084542446238,Sauces,Norte,2023-05-12,21:07:58,Robo
