,Content,Timestamp,Coordenadas,Delito
0,"Ladrones le roban una mujer y le dan un patazo en la barriga. Ocurrió en la Cdla. Los Esteros, sur de Guayaquil. ",2021-01-08 19:09:00,"-2.2438091, -79.9066763",1
1,"Deliencuentes en moto le robaron a un ciudadano que iba con su pareja. Ocurrió en el Guasmo Central, Coop. Venecia cerca de las 5 esquinas, sur de Guayaquil. ",2021-01-09 20:26:00,"-2.2805355, -79.8757351",1
2,"Hombre disfrazado como obrero y con casco mató con varios disparos a un hombre de 30 años que estaba en el portal de su casa, una de las balas le cayó en la cabeza a una niña de 1 año y también murió. Ocurrió en las calles Garcia Moreno y la A, Guayaquil. ",2021-01-19 18:11:00,"-2.2162051, -79.90212799999999",1
3,"Nuevo caso de sicariato! En el sur de Guayaquil, sopeña al pie de la primax",2021-01-22 18:54:00,,1
4,"VIOLENTO ROBO EN UN BUS Delincuentes le dispararon a un policía para evitar ser detenidos, la rápida acción de los uniformados permitió la captura. Ocurrió en La Ladrillera, Guayaquil. ",2021-01-26 12:06:00,"-2.0844835, -79.9309719",1
5,"NO LES IMPORTÓ EL NIÑO, IGUAL ROBARON Sujetos armados les robaron las pertenencias a 2 jóvenes que se encontraban afuera de una tienda ubicada en la Cdla Guayacanes, norte de Guayaquil. El niño pensó que era un juego. A uno de los afectadosle dieron una bofetada. ",2021-01-31 12:24:00,"18.4249461, -69.4575979",1
6,"Asalto ocurrido el día de hoy en las calles 17 y Cuenca, la víctima esperaba el bus para dirigirse a su trabajo",2021-02-02 14:41:00,,1
7,"DELINCUENTES DISFRAZADOS COMO POLICIAS Fingieron un allanamiento y robaron $11.000 de una avicola de pollos ubicada en el bloque 10 de la Flor de Bastión, noroeste de Guayaquil. Los sujetos dispararon 3 veces para amedrentar a los trabajadores del negocio.",2021-02-03 07:55:00,"-2.1035171, -79.9559316",1
8,VIOLENTO ROBO A PERIODISTA DEPORTIVO Mientras el comunicador realizaba su trabajo en los exteriores del Estadio de #BarcelonaSC fue asaltado por un sujeto armado. El hecho quedó grabado porque la cámara nunca la apagaron. ,2021-02-12 17:42:00,,1
9,PEDÍAN MEDIO MILLÓN DE DÓLARES PARA LIBERARLO El buen trabajo de la UNASE permitió la liberación a de un ciudadano asiático que fue secuestrado en el norte de Guayaquil.,2021-03-06 19:09:00,,1
